part3,part2b,part2t,part1,scope,language_type,ref_name,comment,print_name,inverted_name,m_id
kls,,,,Individual,Living language,Kalasha,,Kalasha,Kalasha,
klt,,,,Individual,Living language,Nukna,,Nukna,Nukna,
klu,,,,Individual,Living language,Klao,,Klao,Klao,
klv,,,,Individual,Living language,Maskelynes,,Maskelynes,Maskelynes,
klw,,,,Individual,Living language,Tado,,Lindu,Lindu,
klw,,,,Individual,Living language,Tado,,Tado,Tado,
klx,,,,Individual,Living language,Koluwawa,,Koluwawa,Koluwawa,
kly,,,,Individual,Living language,Kalao,,Kalao,Kalao,
klz,,,,Individual,Living language,Kabola,,Kabola,Kabola,
kma,,,,Individual,Living language,Konni,,Konni,Konni,
kmb,kmb,kmb,,Individual,Living language,Kimbundu,,Kimbundu,Kimbundu,
kmc,,,,Individual,Living language,Southern Dong,,Southern Dong,"Dong, Southern",
kmd,,,,Individual,Living language,Majukayang Kalinga,,Majukayang Kalinga,"Kalinga, Majukayang",
kme,,,,Individual,Living language,Bakole,,Bakole,Bakole,
kmf,,,,Individual,Living language,Kare (Papua New Guinea),,Kare (Papua New Guinea),Kare (Papua New Guinea),
kmg,,,,Individual,Living language,Kâte,,Kâte,Kâte,
kmh,,,,Individual,Living language,Kalam,,Kalam,Kalam,
kmi,,,,Individual,Living language,Kami (Nigeria),,Kami (Nigeria),Kami (Nigeria),
kmj,,,,Individual,Living language,Kumarbhag Paharia,,Kumarbhag Paharia,Kumarbhag Paharia,
kmk,,,,Individual,Living language,Limos Kalinga,,Limos Kalinga,"Kalinga, Limos",
kml,,,,Individual,Living language,Tanudan Kalinga,,Tanudan Kalinga,"Kalinga, Tanudan",
kmm,,,,Individual,Living language,Kom (India),,Kom (India),Kom (India),
kmn,,,,Individual,Living language,Awtuw,,Awtuw,Awtuw,
kmo,,,,Individual,Living language,Kwoma,,Kwoma,Kwoma,
kmp,,,,Individual,Living language,Gimme,,Gimme,Gimme,
kmq,,,,Individual,Living language,Kwama,,Kwama,Kwama,
kmr,,,,Individual,Living language,Northern Kurdish,,Northern Kurdish,"Kurdish, Northern",kur
kms,,,,Individual,Living language,Kamasau,,Kamasau,Kamasau,
kmt,,,,Individual,Living language,Kemtuik,,Kemtuik,Kemtuik,
kmu,,,,Individual,Living language,Kanite,,Kanite,Kanite,
kmv,,,,Individual,Living language,Karipúna Creole French,,Karipúna Creole French,"Creole French, Karipúna",
kmw,,,,Individual,Living language,Komo (Democratic Republic of Congo),,Komo (Democratic Republic of Congo),Komo (Democratic Republic of Congo),
kmx,,,,Individual,Living language,Waboda,,Waboda,Waboda,
kmy,,,,Individual,Living language,Koma,,Koma,Koma,
kmz,,,,Individual,Living language,Khorasani Turkish,,Khorasani Turkish,Khorasani Turkish,
kna,,,,Individual,Living language,Dera (Nigeria),,Dera (Nigeria),Dera (Nigeria),
knb,,,,Individual,Living language,Lubuagan Kalinga,,Lubuagan Kalinga,"Kalinga, Lubuagan",
knc,,,,Individual,Living language,Central Kanuri,,Central Kanuri,"Kanuri, Central",kau
knd,,,,Individual,Living language,Konda,,Konda,Konda,
kne,,,,Individual,Living language,Kankanaey,,Kankanaey,Kankanaey,
knf,,,,Individual,Living language,Mankanya,,Mankanya,Mankanya,
kng,,,,Individual,Living language,Koongo,,Koongo,Koongo,kon
kni,,,,Individual,Living language,Kanufi,,Kanufi,Kanufi,
knj,,,,Individual,Living language,Western Kanjobal,,Western Kanjobal,"Kanjobal, Western",
knk,,,,Individual,Living language,Kuranko,,Kuranko,Kuranko,
knl,,,,Individual,Living language,Keninjal,,Keninjal,Keninjal,
knm,,,,Individual,Living language,Kanamarí,,Kanamarí,Kanamarí,
knn,,,,Individual,Living language,Konkani (individual language),,Konkani (individual language),Konkani (individual language),kok
kno,,,,Individual,Living language,Kono (Sierra Leone),,Kono (Sierra Leone),Kono (Sierra Leone),
knp,,,,Individual,Living language,Kwanja,,Kwanja,Kwanja,
knq,,,,Individual,Living language,Kintaq,,Kintaq,Kintaq,
knr,,,,Individual,Living language,Kaningra,,Kaningra,Kaningra,
kns,,,,Individual,Living language,Kensiu,,Kensiu,Kensiu,
knt,,,,Individual,Living language,Panoan Katukína,,Panoan Katukína,"Katukína, Panoan",
knu,,,,Individual,Living language,Kono (Guinea),,Kono (Guinea),Kono (Guinea),
knv,,,,Individual,Living language,Tabo,,Tabo,Tabo,
knw,,,,Individual,Living language,Kung-Ekoka,,Kung-Ekoka,Kung-Ekoka,
knx,,,,Individual,Living language,Kendayan,,Kendayan,Kendayan,
knx,,,,Individual,Living language,Kendayan,,Salako,Salako,
kny,,,,Individual,Living language,Kanyok,,Kanyok,Kanyok,
knz,,,,Individual,Living language,Kalamsé,,Kalamsé,Kalamsé,
koa,,,,Individual,Living language,Konomala,,Konomala,Konomala,
koc,,,,Individual,Extinct language,Kpati,,Kpati,Kpati,
kod,,,,Individual,Living language,Kodi,,Kodi,Kodi,
koe,,,,Individual,Living language,Kacipo-Bale Suri,,Kacipo-Bale Suri,"Suri, Kacipo-Bale",
kof,,,,Individual,Extinct language,Kubi,,Kubi,Kubi,
kog,,,,Individual,Living language,Cogui,,Cogui,Cogui,
kog,,,,Individual,Living language,Cogui,,Kogi,Kogi,
koh,,,,Individual,Living language,Koyo,,Koyo,Koyo,
koi,,,,Individual,Living language,Komi-Permyak,,Komi-Permyak,Komi-Permyak,kom
kok,kok,kok,,Macrolanguage,Living language,Konkani (macrolanguage),,Konkani (macrolanguage),Konkani (macrolanguage),
kol,,,,Individual,Living language,Kol (Papua New Guinea),,Kol (Papua New Guinea),Kol (Papua New Guinea),
kom,kom,kom,kv,Macrolanguage,Living language,Komi,,Komi,Komi,
kon,kon,kon,kg,Macrolanguage,Living language,Kongo,,Kongo,Kongo,
koo,,,,Individual,Living language,Konzo,,Konzo,Konzo,
kop,,,,Individual,Living language,Waube,,Waube,Waube,
koq,,,,Individual,Living language,Kota (Gabon),,Kota (Gabon),Kota (Gabon),
kor,kor,kor,ko,Individual,Living language,Korean,,Korean,Korean,
kos,kos,kos,,Individual,Living language,Kosraean,,Kosraean,Kosraean,
kot,,,,Individual,Living language,Lagwan,,Lagwan,Lagwan,
kou,,,,Individual,Living language,Koke,,Koke,Koke,
kov,,,,Individual,Living language,Kudu-Camo,,Kudu-Camo,Kudu-Camo,
kow,,,,Individual,Living language,Kugama,,Kugama,Kugama,
koy,,,,Individual,Living language,Koyukon,,Koyukon,Koyukon,
koz,,,,Individual,Living language,Korak,,Korak,Korak,
kpa,,,,Individual,Living language,Kutto,,Kutto,Kutto,
kpb,,,,Individual,Living language,Mullu Kurumba,,Mullu Kurumba,"Kurumba, Mullu",
kpc,,,,Individual,Living language,Curripaco,,Curripaco,Curripaco,
kpd,,,,Individual,Living language,Koba,,Koba,Koba,
kpe,kpe,kpe,,Macrolanguage,Living language,Kpelle,,Kpelle,Kpelle,
kpf,,,,Individual,Living language,Komba,,Komba,Komba,
kpg,,,,Individual,Living language,Kapingamarangi,,Kapingamarangi,Kapingamarangi,
kph,,,,Individual,Living language,Kplang,,Kplang,Kplang,
kpi,,,,Individual,Living language,Kofei,,Kofei,Kofei,
kpj,,,,Individual,Living language,Karajá,,Karajá,Karajá,
kpk,,,,Individual,Living language,Kpan,,Kpan,Kpan,
kpl,,,,Individual,Living language,Kpala,,Kpala,Kpala,
kpm,,,,Individual,Living language,Koho,,Koho,Koho,
kpn,,,,Individual,Extinct language,Kepkiriwát,,Kepkiriwát,Kepkiriwát,
kpo,,,,Individual,Living language,Ikposo,,Ikposo,Ikposo,
kpq,,,,Individual,Living language,Korupun-Sela,,Korupun-Sela,Korupun-Sela,
kpr,,,,Individual,Living language,Korafe-Yegha,,Korafe-Yegha,Korafe-Yegha,
kps,,,,Individual,Living language,Tehit,,Tehit,Tehit,
kpt,,,,Individual,Living language,Karata,,Karata,Karata,
kpu,,,,Individual,Living language,Kafoa,,Kafoa,Kafoa,
kpv,,,,Individual,Living language,Komi-Zyrian,,Komi-Zyrian,Komi-Zyrian,kom
kpw,,,,Individual,Living language,Kobon,,Kobon,Kobon,
kpx,,,,Individual,Living language,Mountain Koiali,,Mountain Koiali,"Koiali, Mountain",
kpy,,,,Individual,Living language,Koryak,,Koryak,Koryak,
kpz,,,,Individual,Living language,Kupsabiny,,Kupsabiny,Kupsabiny,
kqa,,,,Individual,Living language,Mum,,Mum,Mum,
kqb,,,,Individual,Living language,Kovai,,Kovai,Kovai,
kqc,,,,Individual,Living language,Doromu-Koki,,Doromu-Koki,Doromu-Koki,
kqd,,,,Individual,Living language,Koy Sanjaq Surat,,Koy Sanjaq Surat,Koy Sanjaq Surat,
kqe,,,,Individual,Living language,Kalagan,,Kalagan,Kalagan,
kqf,,,,Individual,Living language,Kakabai,,Kakabai,Kakabai,
kqg,,,,Individual,Living language,Khe,,Khe,Khe,
kqh,,,,Individual,Living language,Kisankasa,,Kisankasa,Kisankasa,
kqi,,,,Individual,Living language,Koitabu,,Koitabu,Koitabu,
kqj,,,,Individual,Living language,Koromira,,Koromira,Koromira,
kqk,,,,Individual,Living language,Kotafon Gbe,,Kotafon Gbe,"Gbe, Kotafon",
kql,,,,Individual,Living language,Kyenele,,Kyenele,Kyenele,
kqm,,,,Individual,Living language,Khisa,,Khisa,Khisa,
kqn,,,,Individual,Living language,Kaonde,,Kaonde,Kaonde,
kqo,,,,Individual,Living language,Eastern Krahn,,Eastern Krahn,"Krahn, Eastern",
kqp,,,,Individual,Living language,Kimré,,Kimré,Kimré,
kqq,,,,Individual,Living language,Krenak,,Krenak,Krenak,
kqr,,,,Individual,Living language,Kimaragang,,Kimaragang,Kimaragang,
kqs,,,,Individual,Living language,Northern Kissi,,Northern Kissi,"Kissi, Northern",
kqt,,,,Individual,Living language,Klias River Kadazan,,Klias River Kadazan,"Kadazan, Klias River",
kqu,,,,Individual,Extinct language,Seroa,,Seroa,Seroa,
kqv,,,,Individual,Living language,Okolod,,Okolod,Okolod,
kqw,,,,Individual,Living language,Kandas,,Kandas,Kandas,
kqx,,,,Individual,Living language,Mser,,Mser,Mser,
kqy,,,,Individual,Living language,Koorete,,Koorete,Koorete,
kqz,,,,Individual,Extinct language,Korana,,Korana,Korana,
kra,,,,Individual,Living language,Kumhali,,Kumhali,Kumhali,
krb,,,,Individual,Extinct language,Karkin,,Karkin,Karkin,
krc,krc,krc,,Individual,Living language,Karachay-Balkar,,Karachay-Balkar,Karachay-Balkar,
krd,,,,Individual,Living language,Kairui-Midiki,,Kairui-Midiki,Kairui-Midiki,
kre,,,,Individual,Living language,Panará,,Panará,Panará,
krf,,,,Individual,Living language,Koro (Vanuatu),,Koro (Vanuatu),Koro (Vanuatu),
krh,,,,Individual,Living language,Kurama,,Kurama,Kurama,
kri,,,,Individual,Living language,Krio,,Krio,Krio,
krj,,,,Individual,Living language,Kinaray-A,,Kinaray-A,Kinaray-A,
krk,,,,Individual,Extinct language,Kerek,,Kerek,Kerek,
krl,krl,krl,,Individual,Living language,Karelian,,Karelian,Karelian,
krn,,,,Individual,Living language,Sapo,,Sapo,Sapo,
krp,,,,Individual,Living language,Durop,,Durop,Durop,
krr,,,,Individual,Living language,Krung,,Krung,Krung,
krs,,,,Individual,Living language,Gbaya (Sudan),,Gbaya (Sudan),Gbaya (Sudan),
krt,,,,Individual,Living language,Tumari Kanuri,,Tumari Kanuri,"Kanuri, Tumari",kau
kru,kru,kru,,Individual,Living language,Kurukh,,Kurukh,Kurukh,
krv,,,,Individual,Living language,Kavet,,Kavet,Kavet,
krw,,,,Individual,Living language,Western Krahn,,Western Krahn,"Krahn, Western",
krx,,,,Individual,Living language,Karon,,Karon,Karon,
kry,,,,Individual,Living language,Kryts,,Kryts,Kryts,
krz,,,,Individual,Living language,Sota Kanum,,Sota Kanum,"Kanum, Sota",
ksb,,,,Individual,Living language,Shambala,,Shambala,Shambala,
ksc,,,,Individual,Living language,Southern Kalinga,,Southern Kalinga,"Kalinga, Southern",
ksd,,,,Individual,Living language,Kuanua,,Kuanua,Kuanua,
kse,,,,Individual,Living language,Kuni,,Kuni,Kuni,
ksf,,,,Individual,Living language,Bafia,,Bafia,Bafia,
ksg,,,,Individual,Living language,Kusaghe,,Kusaghe,Kusaghe,
ksh,,,,Individual,Living language,Kölsch,,Kölsch,Kölsch,
ksi,,,,Individual,Living language,Krisa,,I'saka,I'saka,
ksi,,,,Individual,Living language,Krisa,,Krisa,Krisa,
ksj,,,,Individual,Living language,Uare,,Uare,Uare,
ksk,,,,Individual,Living language,Kansa,,Kansa,Kansa,
ksl,,,,Individual,Living language,Kumalu,,Kumalu,Kumalu,
ksm,,,,Individual,Living language,Kumba,,Kumba,Kumba,
ksn,,,,Individual,Living language,Kasiguranin,,Kasiguranin,Kasiguranin,
kso,,,,Individual,Living language,Kofa,,Kofa,Kofa,
ksp,,,,Individual,Living language,Kaba,,Kaba,Kaba,
ksq,,,,Individual,Living language,Kwaami,,Kwaami,Kwaami,
ksr,,,,Individual,Living language,Borong,,Borong,Borong,
kss,,,,Individual,Living language,Southern Kisi,,Southern Kisi,"Kisi, Southern",
kst,,,,Individual,Living language,Winyé,,Winyé,Winyé,
ksu,,,,Individual,Living language,Khamyang,,Khamyang,Khamyang,
ksv,,,,Individual,Living language,Kusu,,Kusu,Kusu,
ksw,,,,Individual,Living language,S'gaw Karen,,S'gaw Karen,"Karen, S'gaw",
ksx,,,,Individual,Living language,Kedang,,Kedang,Kedang,
ksy,,,,Individual,Living language,Kharia Thar,,Kharia Thar,Kharia Thar,
ksz,,,,Individual,Living language,Kodaku,,Kodaku,Kodaku,
kta,,,,Individual,Living language,Katua,,Katua,Katua,
ktb,,,,Individual,Living language,Kambaata,,Kambaata,Kambaata,
ktc,,,,Individual,Living language,Kholok,,Kholok,Kholok,
ktd,,,,Individual,Living language,Kokata,,Kokata,Kokata,
ktd,,,,Individual,Living language,Kokata,,Kukatha,Kukatha,
kte,,,,Individual,Living language,Nubri,,Nubri,Nubri,
ktf,,,,Individual,Living language,Kwami,,Kwami,Kwami,
ktg,,,,Individual,Extinct language,Kalkutung,,Kalkutung,Kalkutung,
kth,,,,Individual,Living language,Karanga,,Karanga,Karanga,
kti,,,,Individual,Living language,North Muyu,,North Muyu,"Muyu, North",
ktj,,,,Individual,Living language,Plapo Krumen,,Plapo Krumen,"Krumen, Plapo",
ktk,,,,Individual,Extinct language,Kaniet,,Kaniet,Kaniet,
ktl,,,,Individual,Living language,Koroshi,,Koroshi,Koroshi,
ktm,,,,Individual,Living language,Kurti,,Kurti,Kurti,
ktn,,,,Individual,Living language,Karitiâna,,Karitiâna,Karitiâna,
kto,,,,Individual,Living language,Kuot,,Kuot,Kuot,
ktp,,,,Individual,Living language,Kaduo,,Kaduo,Kaduo,
ktq,,,,Individual,Extinct language,Katabaga,,Katabaga,Katabaga,
kts,,,,Individual,Living language,South Muyu,,South Muyu,"Muyu, South",
ktt,,,,Individual,Living language,Ketum,,Ketum,Ketum,
ktu,,,,Individual,Living language,Kituba (Democratic Republic of Congo),,Kituba (Democratic Republic of Congo),Kituba (Democratic Republic of Congo),
ktv,,,,Individual,Living language,Eastern Katu,,Eastern Katu,"Katu, Eastern",
ktw,,,,Individual,Extinct language,Kato,,Kato,Kato,
ktx,,,,Individual,Living language,Kaxararí,,Kaxararí,Kaxararí,
kty,,,,Individual,Living language,Kango (Bas-Uélé District),,Kango (Bas-Uélé District),Kango (Bas-Uélé District),
ktz,,,,Individual,Living language,Juǀʼhoan,,Juǀʼhoan,Juǀʼhoan,
ktz,,,,Individual,Living language,Juǀʼhoan,,Juǀʼhoansi,Juǀʼhoansi,
kua,kua,kua,kj,Individual,Living language,Kuanyama,,Kuanyama,Kuanyama,
kua,kua,kua,kj,Individual,Living language,Kuanyama,,Kwanyama,Kwanyama,
kub,,,,Individual,Living language,Kutep,,Kutep,Kutep,
kuc,,,,Individual,Living language,Kwinsu,,Kwinsu,Kwinsu,
kud,,,,Individual,Living language,'Auhelawa,,'Auhelawa,'Auhelawa,
kue,,,,Individual,Living language,Kuman (Papua New Guinea),,Kuman (Papua New Guinea),Kuman (Papua New Guinea),
kuf,,,,Individual,Living language,Western Katu,,Western Katu,"Katu, Western",
kug,,,,Individual,Living language,Kupa,,Kupa,Kupa,
kuh,,,,Individual,Living language,Kushi,,Kushi,Kushi,
kui,,,,Individual,Living language,Kuikúro-Kalapálo,,Kalapalo,Kalapalo,
kui,,,,Individual,Living language,Kuikúro-Kalapálo,,Kuikúro-Kalapálo,Kuikúro-Kalapálo,
kuj,,,,Individual,Living language,Kuria,,Kuria,Kuria,
kuk,,,,Individual,Living language,Kepo',,Kepo',Kepo',
kul,,,,Individual,Living language,Kulere,,Kulere,Kulere,
kum,kum,kum,,Individual,Living language,Kumyk,,Kumyk,Kumyk,
kun,,,,Individual,Living language,Kunama,,Kunama,Kunama,
kuo,,,,Individual,Living language,Kumukio,,Kumukio,Kumukio,
kup,,,,Individual,Living language,Kunimaipa,,Kunimaipa,Kunimaipa,
kuq,,,,Individual,Living language,Karipuna,,Karipuna,Karipuna,
kur,kur,kur,ku,Macrolanguage,Living language,Kurdish,,Kurdish,Kurdish,
kus,,,,Individual,Living language,Kusaal,,Kusaal,Kusaal,
kut,kut,kut,,Individual,Living language,Kutenai,,Kutenai,Kutenai,
kuu,,,,Individual,Living language,Upper Kuskokwim,,Upper Kuskokwim,"Kuskokwim, Upper",
kuv,,,,Individual,Living language,Kur,,Kur,Kur,
kuw,,,,Individual,Living language,Kpagua,,Kpagua,Kpagua,
kux,,,,Individual,Living language,Kukatja,,Kukatja,Kukatja,
kuy,,,,Individual,Living language,Kuuku-Ya'u,,Kuuku-Ya'u,Kuuku-Ya'u,
kuz,,,,Individual,Extinct language,Kunza,,Kunza,Kunza,
kva,,,,Individual,Living language,Bagvalal,,Bagvalal,Bagvalal,
kvb,,,,Individual,Living language,Kubu,,Kubu,Kubu,msa
kvc,,,,Individual,Living language,Kove,,Kove,Kove,
kvd,,,,Individual,Living language,Kui (Indonesia),,Kui (Indonesia),Kui (Indonesia),
kve,,,,Individual,Living language,Kalabakan,,Kalabakan,Kalabakan,
kvf,,,,Individual,Living language,Kabalai,,Kabalai,Kabalai,
kvg,,,,Individual,Living language,Kuni-Boazi,,Kuni-Boazi,Kuni-Boazi,
kvh,,,,Individual,Living language,Komodo,,Komodo,Komodo,
kvi,,,,Individual,Living language,Kwang,,Kwang,Kwang,
kvj,,,,Individual,Living language,Psikye,,Psikye,Psikye,
kvk,,,,Individual,Living language,Korean Sign Language,,Korean Sign Language,Korean Sign Language,
kvl,,,,Individual,Living language,Kayaw,,Kayaw,Kayaw,
kvm,,,,Individual,Living language,Kendem,,Kendem,Kendem,
kvn,,,,Individual,Living language,Border Kuna,,Border Kuna,"Kuna, Border",
kvo,,,,Individual,Living language,Dobel,,Dobel,Dobel,
kvp,,,,Individual,Living language,Kompane,,Kompane,Kompane,
kvq,,,,Individual,Living language,Geba Karen,,Geba Karen,"Karen, Geba",
kvr,,,,Individual,Living language,Kerinci,,Kerinci,Kerinci,msa
kvt,,,,Individual,Living language,Lahta Karen,,Lahta,Lahta,
kvt,,,,Individual,Living language,Lahta Karen,,Lahta Karen,"Karen, Lahta",
kvu,,,,Individual,Living language,Yinbaw Karen,,Yinbaw Karen,"Karen, Yinbaw",
kvv,,,,Individual,Living language,Kola,,Kola,Kola,
kvw,,,,Individual,Living language,Wersing,,Wersing,Wersing,
kvx,,,,Individual,Living language,Parkari Koli,,Parkari Koli,"Koli, Parkari",
kvy,,,,Individual,Living language,Yintale Karen,,Yintale,Yintale,
kvy,,,,Individual,Living language,Yintale Karen,,Yintale Karen,"Karen, Yintale",
kvz,,,,Individual,Living language,Tsakwambo,,Tsakwambo,Tsakwambo,
kvz,,,,Individual,Living language,Tsakwambo,,Tsaukambo,Tsaukambo,
kwa,,,,Individual,Living language,Dâw,,Dâw,Dâw,
kwb,,,,Individual,Living language,Kwa,,Kwa,Kwa,
kwc,,,,Individual,Living language,Likwala,,Likwala,Likwala,
kwd,,,,Individual,Living language,Kwaio,,Kwaio,Kwaio,
kwe,,,,Individual,Living language,Kwerba,,Kwerba,Kwerba,
kwf,,,,Individual,Living language,Kwara'ae,,Kwara'ae,Kwara'ae,
kwg,,,,Individual,Living language,Sara Kaba Deme,,Sara Kaba Deme,Sara Kaba Deme,
kwh,,,,Individual,Living language,Kowiai,,Kowiai,Kowiai,
kwi,,,,Individual,Living language,Awa-Cuaiquer,,Awa-Cuaiquer,Awa-Cuaiquer,
kwj,,,,Individual,Living language,Kwanga,,Kwanga,Kwanga,
kwk,,,,Individual,Living language,Kwakiutl,,Kwakiutl,Kwakiutl,
kwl,,,,Individual,Living language,Kofyar,,Kofyar,Kofyar,
kwm,,,,Individual,Living language,Kwambi,,Kwambi,Kwambi,
kwn,,,,Individual,Living language,Kwangali,,Kwangali,Kwangali,
kwo,,,,Individual,Living language,Kwomtari,,Kwomtari,Kwomtari,
kwp,,,,Individual,Living language,Kodia,,Kodia,Kodia,
kwr,,,,Individual,Living language,Kwer,,Kwer,Kwer,
kws,,,,Individual,Living language,Kwese,,Kwese,Kwese,
kwt,,,,Individual,Living language,Kwesten,,Kwesten,Kwesten,
kwu,,,,Individual,Living language,Kwakum,,Kwakum,Kwakum,
kwv,,,,Individual,Living language,Sara Kaba Náà,,Sara Kaba Náà,Sara Kaba Náà,
kww,,,,Individual,Living language,Kwinti,,Kwinti,Kwinti,
kwx,,,,Individual,Living language,Khirwar,,Khirwar,Khirwar,
kwy,,,,Individual,Living language,San Salvador Kongo,,San Salvador Kongo,"Kongo, San Salvador",kon
kwz,,,,Individual,Extinct language,Kwadi,,Kwadi,Kwadi,
kxa,,,,Individual,Living language,Kairiru,,Kairiru,Kairiru,
kxb,,,,Individual,Living language,Krobu,,Krobu,Krobu,
kxc,,,,Individual,Living language,Konso,,Khonso,Khonso,
kxc,,,,Individual,Living language,Konso,,Konso,Konso,
kxd,,,,Individual,Living language,Brunei,,Brunei,Brunei,msa
kxf,,,,Individual,Living language,Manumanaw Karen,,Manumanaw,Manumanaw,
kxf,,,,Individual,Living language,Manumanaw Karen,,Manumanaw Karen,"Karen, Manumanaw",
kxh,,,,Individual,Living language,Karo (Ethiopia),,Karo (Ethiopia),Karo (Ethiopia),
kxi,,,,Individual,Living language,Keningau Murut,,Keningau Murut,"Murut, Keningau",
kxj,,,,Individual,Living language,Kulfa,,Kulfa,Kulfa,
kxk,,,,Individual,Living language,Zayein Karen,,Zayein Karen,"Karen, Zayein",
kxm,,,,Individual,Living language,Northern Khmer,,Northern Khmer,"Khmer, Northern",
kxn,,,,Individual,Living language,Kanowit-Tanjong Melanau,,Kanowit-Tanjong Melanau,"Melanau, Kanowit-Tanjong",
kxo,,,,Individual,Extinct language,Kanoé,,Kanoé,Kanoé,
kxp,,,,Individual,Living language,Wadiyara Koli,,Wadiyara Koli,"Koli, Wadiyara",
kxq,,,,Individual,Living language,Smärky Kanum,,Smärky Kanum,"Kanum, Smärky",
kxr,,,,Individual,Living language,Koro (Papua New Guinea),,Koro (Papua New Guinea),Koro (Papua New Guinea),
kxs,,,,Individual,Living language,Kangjia,,Kangjia,Kangjia,
kxt,,,,Individual,Living language,Koiwat,,Koiwat,Koiwat,
kxv,,,,Individual,Living language,Kuvi,,Kuvi,Kuvi,
kxw,,,,Individual,Living language,Konai,,Konai,Konai,
kxx,,,,Individual,Living language,Likuba,,Likuba,Likuba,
kxy,,,,Individual,Living language,Kayong,,Kayong,Kayong,
kxz,,,,Individual,Living language,Kerewo,,Kerewo,Kerewo,
kya,,,,Individual,Living language,Kwaya,,Kwaya,Kwaya,
kyb,,,,Individual,Living language,Butbut Kalinga,,Butbut Kalinga,"Kalinga, Butbut",
kyc,,,,Individual,Living language,Kyaka,,Kyaka,Kyaka,
kyd,,,,Individual,Living language,Karey,,Karey,Karey,
kye,,,,Individual,Living language,Krache,,Krache,Krache,
kyf,,,,Individual,Living language,Kouya,,Kouya,Kouya,
kyg,,,,Individual,Living language,Keyagana,,Keyagana,Keyagana,
kyh,,,,Individual,Living language,Karok,,Karok,Karok,
kyi,,,,Individual,Living language,Kiput,,Kiput,Kiput,
kyj,,,,Individual,Living language,Karao,,Karao,Karao,
kyk,,,,Individual,Living language,Kamayo,,Kamayo,Kamayo,
kyl,,,,Individual,Living language,Kalapuya,,Kalapuya,Kalapuya,
kym,,,,Individual,Living language,Kpatili,,Kpatili,Kpatili,
kyn,,,,Individual,Living language,Northern Binukidnon,,Northern Binukidnon,"Binukidnon, Northern",
kyo,,,,Individual,Living language,Kelon,,Kelon,Kelon,
kyp,,,,Individual,Living language,Kang,,Kang,Kang,
kyq,,,,Individual,Living language,Kenga,,Kenga,Kenga,
kyr,,,,Individual,Living language,Kuruáya,,Kuruáya,Kuruáya,
kys,,,,Individual,Living language,Baram Kayan,,Baram Kayan,"Kayan, Baram",
kyt,,,,Individual,Living language,Kayagar,,Kayagar,Kayagar,
kyu,,,,Individual,Living language,Western Kayah,,Western Kayah,"Kayah, Western",
kyv,,,,Individual,Living language,Kayort,,Kayort,Kayort,
kyw,,,,Individual,Living language,Kudmali,,Kudmali,Kudmali,
kyx,,,,Individual,Living language,Rapoisi,,Rapoisi,Rapoisi,
kyy,,,,Individual,Living language,Kambaira,,Kambaira,Kambaira,
kyz,,,,Individual,Living language,Kayabí,,Kayabí,Kayabí,
kza,,,,Individual,Living language,Western Karaboro,,Western Karaboro,"Karaboro, Western",
kzb,,,,Individual,Living language,Kaibobo,,Kaibobo,Kaibobo,
kzc,,,,Individual,Living language,Bondoukou Kulango,,Bondoukou Kulango,"Kulango, Bondoukou",
kzd,,,,Individual,Living language,Kadai,,Kadai,Kadai,
kze,,,,Individual,Living language,Kosena,,Kosena,Kosena,
kzf,,,,Individual,Living language,Da'a Kaili,,Da'a Kaili,"Kaili, Da'a",
kzg,,,,Individual,Living language,Kikai,,Kikai,Kikai,
kzi,,,,Individual,Living language,Kelabit,,Kelabit,Kelabit,
kzk,,,,Individual,Extinct language,Kazukuru,,Kazukuru,Kazukuru,
kzl,,,,Individual,Living language,Kayeli,,Kayeli,Kayeli,
kzm,,,,Individual,Living language,Kais,,Kais,Kais,
kzn,,,,Individual,Living language,Kokola,,Kokola,Kokola,
kzo,,,,Individual,Living language,Kaningi,,Kaningi,Kaningi,
kzp,,,,Individual,Living language,Kaidipang,,Kaidipang,Kaidipang,
kzq,,,,Individual,Living language,Kaike,,Kaike,Kaike,
kzr,,,,Individual,Living language,Karang,,Karang,Karang,
kzs,,,,Individual,Living language,Sugut Dusun,,Sugut Dusun,"Dusun, Sugut",
kzu,,,,Individual,Living language,Kayupulau,,Kayupulau,Kayupulau,
kzv,,,,Individual,Living language,Komyandaret,,Komyandaret,Komyandaret,
kzw,,,,Individual,Extinct language,Karirí-Xocó,,Karirí-Xocó,Karirí-Xocó,
kzx,,,,Individual,Extinct language,Kamarian,,Kamarian,Kamarian,
kzy,,,,Individual,Living language,Kango (Tshopo District),,Kango (Tshopo District),Kango (Tshopo District),
kzz,,,,Individual,Living language,Kalabra,,Kalabra,Kalabra,
laa,,,,Individual,Living language,Southern Subanen,,Southern Subanen,"Subanen, Southern",
lab,,,,Individual,Historical language,Linear A,,Linear A,Linear A,
lac,,,,Individual,Living language,Lacandon,,Lacandon,Lacandon,
lad,lad,lad,,Individual,Living language,Ladino,,Ladino,Ladino,
lae,,,,Individual,Living language,Pattani,,Pattani,Pattani,
laf,,,,Individual,Living language,Lafofa,,Lafofa,Lafofa,
lag,,,,Individual,Living language,Rangi,,Rangi,Rangi,
lah,lah,lah,,Macrolanguage,Living language,Lahnda,,Lahnda,Lahnda,
lai,,,,Individual,Living language,Lambya,,Lambya,Lambya,
