part3,part2b,part2t,part1,scope,language_type,ref_name,comment,print_name,inverted_name,m_id
ddn,,,,Individual,Living language,Dendi (Benin),,Dendi (Benin),Dendi (Benin),
ddo,,,,Individual,Living language,Dido,,Dido,Dido,
ddr,,,,Individual,Extinct language,Dhudhuroa,,Dhudhuroa,Dhudhuroa,
dds,,,,Individual,Living language,Donno So Dogon,,Donno So Dogon,"Dogon, Donno So",
ddw,,,,Individual,Living language,Dawera-Daweloor,,Dawera-Daweloor,Dawera-Daweloor,
dec,,,,Individual,Living language,Dagik,,Dagik,Dagik,
ded,,,,Individual,Living language,Dedua,,Dedua,Dedua,
dee,,,,Individual,Living language,Dewoin,,Dewoin,Dewoin,
def,,,,Individual,Living language,Dezfuli,,Dezfuli,Dezfuli,
deg,,,,Individual,Living language,Degema,,Degema,Degema,
deh,,,,Individual,Living language,Dehwari,,Dehwari,Dehwari,
dei,,,,Individual,Living language,Demisa,,Demisa,Demisa,
del,del,del,,Macrolanguage,Living language,Delaware,,Delaware,Delaware,
dem,,,,Individual,Living language,Dem,,Dem,Dem,
den,den,den,,Macrolanguage,Living language,Slave (Athapascan),,Slave (Athapascan),Slave (Athapascan),
dep,,,,Individual,Extinct language,Pidgin Delaware,,Pidgin Delaware,"Delaware, Pidgin",
deq,,,,Individual,Living language,Dendi (Central African Republic),,Dendi (Central African Republic),Dendi (Central African Republic),
der,,,,Individual,Living language,Deori,,Deori,Deori,
des,,,,Individual,Living language,Desano,,Desano,Desano,
deu,ger,deu,de,Individual,Living language,German,,German,German,
dev,,,,Individual,Living language,Domung,,Domung,Domung,
dez,,,,Individual,Living language,Dengese,,Dengese,Dengese,
dga,,,,Individual,Living language,Southern Dagaare,,Southern Dagaare,"Dagaare, Southern",
dgb,,,,Individual,Living language,Bunoge Dogon,,Bunoge Dogon,"Dogon, Bunoge",
dgc,,,,Individual,Living language,Casiguran Dumagat Agta,,Casiguran Dumagat Agta,"Agta, Casiguran Dumagat",
dgd,,,,Individual,Living language,Dagaari Dioula,,Dagaari Dioula,Dagaari Dioula,
dge,,,,Individual,Living language,Degenan,,Degenan,Degenan,
dgg,,,,Individual,Living language,Doga,,Doga,Doga,
dgh,,,,Individual,Living language,Dghwede,,Dghwede,Dghwede,
dgi,,,,Individual,Living language,Northern Dagara,,Northern Dagara,"Dagara, Northern",
dgk,,,,Individual,Living language,Dagba,,Dagba,Dagba,
dgl,,,,Individual,Living language,Andaandi,,Andaandi,Andaandi,
dgl,,,,Individual,Living language,Andaandi,,Dongolawi,Dongolawi,
dgn,,,,Individual,Extinct language,Dagoman,,Dagoman,Dagoman,
